Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
2993,80,1000,Run_2993,10,8.00E-05,260,1
2994,80,1000,Run_2994,9,1.00E-04,260,1
2997,80,1200,Run_2997,15,4.00E-05,260,1
2998,80,1200,Run_2998,14,6.00E-05,260,1
2999,80,1200,Run_2999,12,8.00E-05,260,1
3007,80,1600,Run_3007,22,1.00E-05,260,1
3011,80,1600,Run_3011,18,8.00E-05,260,1
3012,80,1600,Run_3012,16,1.00E-04,260,1
3017,80,1800,Run_3017,21,8.00E-05,260,1
3026,100,1000,Run_3026,12,2.00E-05,260,1
3028,100,1000,Run_3028,10,6.00E-05,260,1
3030,100,1000,Run_3030,8,1.00E-04,260,1
3034,100,1200,Run_3034,14,6.00E-05,260,1
3038,100,1400,Run_3038,18,2.00E-05,260,1
3047,100,1600,Run_3047,17,8.00E-05,260,1
3053,100,1800,Run_3053,20,8.00E-05,260,1
3064,120,1000,Run_3064,10,6.00E-05,260,1
3065,120,1000,Run_3065,10,8.00E-05,260,1
3066,120,1000,Run_3066,9,1.00E-04,260,1
3072,120,1200,Run_3072,12,1.00E-04,260,1
3076,120,1400,Run_3076,18,6.00E-05,260,1
3080,120,1600,Run_3080,22,2.00E-05,260,1
3095,120,2000,Run_3095,43,8.00E-05,260,1
3098,140,1000,Run_3098,10,2.00E-05,260,1
3100,140,1000,Run_3100,10,6.00E-05,260,1
3101,140,1000,Run_3101,10,8.00E-05,260,1
3102,140,1000,Run_3102,8,1.00E-04,260,1
3111,140,1400,Run_3111,18,4.00E-05,260,1
3118,140,1600,Run_3118,20,6.00E-05,260,1
3120,140,1600,Run_3120,17,1.00E-04,260,1
3135,160,1000,Run_3135,8,4.00E-05,260,1
3136,160,1000,Run_3136,8,6.00E-05,260,1
3137,160,1000,Run_3137,8,8.00E-05,260,1
3143,160,1200,Run_3143,11,8.00E-05,260,1
3144,160,1200,Run_3144,10,1.00E-04,260,1
3145,160,1400,Run_3145,16,1.00E-05,260,1
3152,160,1600,Run_3152,20,2.00E-05,260,1
3155,160,1600,Run_3155,18,8.00E-05,260,1
3156,160,1600,Run_3156,16,1.00E-04,260,1
3158,160,1800,Run_3158,36,2.00E-05,260,1
3170,180,1000,Run_3170,6,2.00E-05,260,1
3171,180,1000,Run_3171,6,4.00E-05,260,1
3173,180,1000,Run_3173,6,8.00E-05,260,1
